Date,Close,High,Low,Open,Volume
1/2/2015,24.19260406,24.65950618,23.75446781,24.64844148,212818400
1/5/2015,23.51105881,24.04213247,23.32518395,23.96247134,257142000
1/6/2015,23.51327324,23.77217109,23.15258484,23.57523153,263188400
1/7/2015,23.84298325,23.94255883,23.61063795,23.72127825,160423600
1/8/2015,24.75907516,24.81660857,24.05318983,24.17046991,237458000
1/9/2015,24.78563499,25.06002241,24.38732933,24.93167928,214798000
1/12/2015,24.17489815,24.92282574,24.07532258,24.91618759,198603200
1/13/2015,24.38955116,24.96045559,24.09967408,24.65730052,268367600
1/14/2015,24.29660416,24.44928658,24.00893878,24.12843047,195826400
1/15/2015,23.63718796,24.35413646,23.60178395,24.34086016,240056000
1/16/2015,23.45352745,23.80536444,23.2787156,23.68365945,314053200
1/20/2015,24.05761909,24.11293923,23.56637606,23.86289115,199599600
1/21/2015,24.24128914,24.57542161,23.95804857,24.10851944,194303600
1/22/2015,24.87193871,24.88742828,24.27890666,24.39839838,215185600
1/23/2015,25.00028229,25.1706676,24.67942441,24.84981142,185859200
1/26/2015,25.02682877,25.30564272,24.96044562,25.16844818,222460000
1/27/2015,24.15056229,24.8896403,24.12622129,24.87636232,382274800
1/28/2015,25.51586342,26.137663,25.51586342,26.0292343,585908400
1/29/2015,26.31025314,26.37442469,25.57117536,25.73934902,337745600
1/30/2015,25.92523003,26.55366598,25.85663191,26.19961744,334982000
2/2/2015,26.25052071,26.37001245,25.68625611,26.12217922,250956400
2/3/2015,26.25494003,26.35230234,26.02480804,26.22174761,207662800
2/4/2015,26.45630074,26.66651826,26.17970006,26.2217439,280598800
2/5/2015,26.64513779,26.70956262,26.49185106,26.66290881,168984800
2/6/2015,26.42076302,26.71400609,26.3141284,26.66290995,174826400
2/9/2015,26.5962677,26.62292509,26.30968894,26.33634802,155559200
2/10/2015,27.10721397,27.13609506,26.69400934,26.69622966,248034000
2/11/2015,27.74257088,27.75145723,27.21384535,27.27382614,294247200
2/12/2015,28.09357643,28.32017431,27.89585963,28.00471455,297898000
2/13/2015,28.23131752,28.27574762,27.91363738,28.27574762,217088800
2/17/2015,28.39793015,28.63119239,28.19576931,28.32239695,252609600
2/18/2015,28.59564972,28.60897841,28.31351332,28.35350109,179566800
2/19/2015,28.5356636,28.66451325,28.50900623,28.54232795,149449600
2/20/2015,28.76892471,28.76892471,28.4468023,28.57342823,195793600
2/23/2015,29.54646301,29.54646301,28.80446994,28.88444547,283896400
2/24/2015,29.36207771,29.67975952,29.13992383,29.53313715,276912400
2/25/2015,28.61119461,29.23544981,28.46901627,29.22656176,298846800
2/26/2015,28.97331619,29.07328479,28.12691023,28.61120419,365150000
2/27/2015,28.53788567,29.00663043,28.48901155,28.88000111,248059200
3/2/2015,28.677845,28.94220867,28.50234492,28.71339044,192386800
3/3/2015,28.7378273,28.77337274,28.45569091,28.6489671,151265200
3/4/2015,28.55565262,28.78225048,28.50678189,28.68006161,126665200
3/5/2015,28.08246803,28.60230721,27.9380677,28.56454146,226068400
3/6/2015,28.12468147,28.74004699,28.04914997,28.52455745,291368400
3/9/2015,28.24464226,28.78447791,27.78256181,28.42680836,354114000
3/10/2015,27.6603775,28.26241426,27.50264847,28.08247017,275426400
3/11/2015,27.15609169,27.71814077,27.12721229,27.71369844,275756000
3/12/2015,27.64705467,27.74702495,27.02058069,27.17164542,193450800
3/13/2015,27.45599556,27.85809521,27.23162137,27.63594134,207309200
3/16/2015,27.7581234,27.7581234,27.29604467,27.52041884,143497200
3/17/2015,28.22243309,28.28463591,27.91363929,27.96917777,204092400
3/18/2015,28.54010391,28.6933906,28.07358119,28.2135375,261083600
3/19/2015,28.3246212,28.71339051,28.30240615,28.60231357,183238000
3/20/2015,27.96917152,28.52455448,27.80477814,28.49123276,274780400
3/23/2015,28.26019478,28.40237313,28.10690806,28.24020174,150838800
3/24/2015,28.14468002,28.44458577,28.11579893,28.26464334,131369200
3/25/2015,27.409338,28.17354769,27.409338,28.11134489,206620800
3/26/2015,27.6003933,27.74257162,27.23606112,27.27160655,190291600
3/27/2015,27.38046837,27.70259085,27.30493686,27.67371145,158184800
3/30/2015,28.07357788,28.08024222,27.54707274,27.5581811,188398800
3/31/2015,27.64260674,28.10024318,27.62705603,28.01138129,168362400
4/1/2015,27.60261154,27.79588597,27.34713432,27.72923915,162485600
4/2/2015,27.84032059,27.89363704,27.58928735,27.77589577,128880400
4/6/2015,28.29129601,28.32684144,27.62039204,27.65149345,148776000
4/7/2015,27.99360466,28.46234768,27.98694032,28.35571479,140049200
4/8/2015,27.90252495,28.08024872,27.76256862,27.95806341,149316800
4/9/2015,28.11579132,28.12023535,27.69370035,27.95806229,129936000
4/10/2015,28.2357502,28.26018725,27.82698798,27.98027297,160752000
4/13/2015,28.18021774,28.56232436,28.12690129,28.51789088,145460400
4/14/2015,28.0580368,28.27796868,27.97139692,28.21354385,102098400
4/15/2015,28.16467667,28.24243021,27.99361888,28.08248079,115881600
4/16/2015,28.02914238,28.23574547,28.0158137,28.05357943,113476000
4/17/2015,27.71369362,28.02248734,27.6492688,27.89141738,207828000
4/20/2015,28.34683228,28.46235154,27.80699833,27.89586021,188217200
4/21/2015,28.1935463,28.48012327,28.14022815,28.45790992,129740400
4/22/2015,28.5734272,28.62896566,28.06247436,28.21131703,150618000
4/23/2015,28.80669022,28.97330561,28.46679509,28.50234052,183083600
4/24/2015,28.94220543,29.01996064,28.70894319,28.98885923,178103600
4/27/2015,29.46870422,29.5753405,29.13547348,29.39317273,387816800
4/28/2015,29.0044117,29.88858324,28.78448151,29.87081391,475696000
4/29/2015,28.57787704,29.23323036,28.50234553,28.91555192,253544400
4/30/2015,27.8025589,28.57787548,27.67593125,28.57787548,332781600
5/1/2015,28.64673615,28.90887943,27.83587601,28.01359806,234050400
5/4/2015,28.59120178,29.00663182,28.49345354,28.76892555,203953200
5/5/2015,27.94695854,28.53566496,27.94251452,28.46901812,197085600
5/6/2015,27.77145386,28.15800109,27.40489966,28.11579132,288564000
5/7/2015,27.94322586,28.12615286,27.66660321,27.83391456,175763600
5/8/2015,28.46970558,28.46970558,28.13285152,28.2600081,222201600
5/11/2015,28.17969513,28.45631611,28.02576813,28.41839261,168143200
5/12/2015,28.07930565,28.30461703,27.84506909,28.01907261,192640000
5/13/2015,28.11053276,28.3737693,28.07930145,28.14176407,138776800
5/14/2015,28.76639366,28.76639366,28.36707879,28.42284923,180814000
5/15/2015,28.72624207,28.88686122,28.60131681,28.79316728,152832000
5/18/2015,29.04301262,29.16124567,28.63477262,28.63923521,203531600
5/19/2015,29.01625633,29.19695208,28.92032937,29.15456598,178532800
